,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,namatanai,0,PG,1577607574,71,83.62,-3.66,152.44,8.68
1,yellowknife,90,CA,1577607574,83,-4.0,62.45,-114.38,12.75
2,kapaa,75,US,1577607450,94,73.4,22.08,-159.32,6.93
3,palu,100,ID,1577607575,93,75.38,-0.9,119.87,1.99
4,garowe,67,SO,1577607575,40,86.29,8.41,48.48,8.32
5,georgetown,40,GY,1577607575,100,73.4,6.8,-58.16,4.7
6,novopokrovka,90,UA,1577607576,100,28.4,49.84,36.56,6.71
7,monterey,20,US,1577607576,86,46.99,36.6,-121.89,5.82
8,ushuaia,40,AR,1577607576,97,51.8,-54.81,-68.31,12.75
9,saint-philippe,1,CA,1577607576,92,32.0,45.36,-73.48,5.64
10,tasiilaq,66,GL,1577607577,63,26.6,65.61,-37.64,4.7
11,sri aman,75,MY,1577607577,83,87.01,1.24,111.46,3.36
12,touros,20,BR,1577607467,94,73.4,-5.2,-35.46,4.7
13,vila velha,75,BR,1577607500,78,86.0,-3.71,-38.6,10.29
14,havre-saint-pierre,1,CA,1577607577,85,12.2,50.23,-63.6,8.05
15,pevek,100,RU,1577607578,93,-9.85,69.7,170.27,10.22
16,xinqing,100,CN,1577607578,95,-12.53,48.28,129.53,6.38
17,cabo san lucas,75,MX,1577607307,72,64.99,22.89,-109.91,4.7
18,douentza,0,ML,1577607578,11,74.98,15.01,-2.95,1.83
19,richards bay,68,ZA,1577607554,77,75.27,-28.77,32.06,27.51
20,vaini,40,IN,1577607579,54,82.4,15.34,74.49,9.17
21,saldanha,0,PT,1577607579,54,42.24,41.42,-6.55,1.79
22,busselton,55,AU,1577607579,38,75.0,-33.64,115.35,19.75
23,rikitea,98,PF,1577607579,83,75.69,-23.12,-134.97,9.06
24,whitefish,90,US,1577607580,79,25.0,48.41,-114.33,1.86
25,fuerte olimpo,0,BR,1577607580,82,74.97,-21.04,-57.87,2.77
26,mar del plata,0,AR,1577607431,50,59.45,-46.43,-67.52,14.88
27,hami,0,CN,1577607581,43,24.48,42.84,93.51,6.31
28,kaeo,0,NZ,1577607581,72,64.18,-35.1,173.78,5.39
29,atuona,53,PF,1577607583,78,80.56,-9.8,-139.03,18.95
30,knysna,75,ZA,1577607583,60,73.4,-34.04,23.05,12.75
31,khani,0,GE,1577607583,62,53.6,41.96,42.96,19.46
32,vila,75,IT,1577607584,100,39.0,45.18,8.4,2.24
33,hithadhoo,92,MV,1577607584,76,81.9,-0.6,73.08,7.27
34,brainerd,90,US,1577607567,98,33.8,46.36,-94.2,13.87
35,oranjestad,40,AW,1577607584,78,80.6,12.52,-70.03,16.11
36,san cristobal,0,HN,1577607521,96,59.92,14.68,-86.92,2.19
37,barrow,41,AR,1577607585,97,61.09,-38.31,-60.23,2.98
38,cape town,0,ZA,1577607495,36,80.01,-33.93,18.42,3.36
39,airai,93,TL,1577607585,91,73.4,-8.93,125.41,1.3
40,sao filipe,21,CV,1577607585,67,71.78,14.9,-24.5,13.51
41,ribeira grande,20,PT,1577607586,81,51.8,38.52,-28.7,5.82
42,ruteng,100,ID,1577607586,91,74.75,-8.61,120.46,0.85
43,hermanus,4,ZA,1577607453,76,80.01,-34.42,19.24,11.01
44,taltal,55,CL,1577607522,89,56.3,-25.41,-70.49,2.95
45,cayenne,75,GF,1577607588,88,77.0,4.94,-52.33,6.06
46,rosarito,90,CO,1577607588,89,65.59,4.91,-75.23,3.65
47,lavrentiya,0,RU,1577607495,90,-8.21,65.58,-170.99,7.27
48,kodiak,75,US,1577607588,87,51.8,39.95,-94.76,20.8
49,nikolskoye,75,RU,1577607588,92,23.0,59.7,30.79,6.71
50,mataura,100,NZ,1577607589,87,57.99,-46.19,168.86,20.0
51,punta arenas,20,CL,1577607589,61,48.2,-53.16,-70.91,32.21
52,sioux lookout,90,CA,1577607589,92,15.8,50.1,-91.92,5.82
53,canutama,100,BR,1577607589,99,72.46,-6.53,-64.38,1.05
54,hasaki,40,JP,1577607590,52,46.4,35.73,140.83,3.36
55,luan,0,CH,1577607590,92,33.8,46.36,6.98,3.36
56,jamestown,47,AU,1577607590,28,87.66,-33.21,138.6,7.38
57,baykit,100,RU,1577607591,98,-11.76,61.68,96.39,4.29
58,cherskiy,100,RU,1577607591,97,-16.67,68.75,161.3,5.41
59,lebu,40,ET,1577607591,77,59.0,8.96,38.73,11.41
60,puerto ayora,99,EC,1577607435,90,72.0,-0.74,-90.35,1.01
61,namibe,90,AO,1577607593,83,71.6,-15.19,12.15,1.16
62,torbay,90,CA,1577607593,92,32.0,47.66,-52.73,10.29
63,moose factory,90,CA,1577607593,79,19.4,51.26,-80.61,4.7
64,katsuura,75,JP,1577607593,57,51.8,33.93,134.5,2.24
65,castro,99,CL,1577607593,100,44.6,-42.48,-73.76,6.93
66,mayo,75,CA,1577607594,68,-16.6,63.59,-135.9,3.22
67,gambela,83,ET,1577607594,22,95.99,8.25,34.59,3.36
68,haines junction,18,CA,1577607594,94,14.85,60.75,-137.51,8.5
69,ponta delgada,75,PT,1577607594,93,59.0,37.73,-25.67,12.75
70,port elizabeth,1,US,1577607546,92,39.0,39.31,-74.98,3.94
71,hovd,75,NO,1577607595,86,46.99,63.83,10.7,8.05
72,evans,40,US,1577607595,62,26.01,40.38,-104.69,18.34
73,ponta do sol,65,BR,1577607595,95,64.36,-20.63,-46.0,1.16
74,geraldton,90,CA,1577607489,85,17.6,49.72,-86.95,9.17
75,albany,20,US,1577607596,74,35.01,42.65,-73.75,10.29
76,tiksi,100,RU,1577607596,85,-25.15,71.64,128.87,8.19
77,montijo,0,ES,1577607596,100,46.0,38.91,-6.62,3.36
78,sorland,100,NO,1577607596,90,44.67,67.67,12.69,20.45
79,arraial do cabo,20,BR,1577607597,88,74.71,-22.97,-42.02,10.83
80,constitucion,100,MX,1577607597,65,48.0,23.99,-104.67,5.99
81,bredasdorp,95,ZA,1577607597,60,71.6,-34.53,20.04,17.22
82,brae,75,GB,1577607597,100,50.0,60.4,-1.35,31.09
83,kahului,1,US,1577607598,83,71.6,20.89,-156.47,3.36
84,upernavik,93,GL,1577607436,66,9.86,72.79,-56.15,7.31
85,nan,20,TH,1577607598,45,86.0,18.78,100.78,4.7
86,itamaraca,75,BR,1577607598,74,80.6,-7.75,-34.83,5.82
87,tigzirt,98,DZ,1577607599,83,44.35,36.57,4.2,2.59
88,ancud,67,CL,1577607599,100,44.6,-41.87,-73.83,6.93
89,champerico,42,MX,1577607599,84,59.56,16.38,-93.6,1.88
90,portland,1,US,1577607501,68,37.0,43.66,-70.25,26.02
91,byron bay,34,AU,1577607600,64,79.0,-28.65,153.62,10.29
92,port alfred,100,ZA,1577607601,91,68.0,-33.59,26.89,1.99
93,vila franca do campo,75,PT,1577607534,93,59.0,37.72,-25.43,12.75
94,skjervoy,100,NO,1577607602,87,40.77,70.03,20.97,37.83
95,komsomolskiy,100,RU,1577607602,93,11.77,67.55,63.78,22.1
96,khatanga,100,RU,1577607603,98,-18.08,71.98,102.47,2.66
97,puerto madero,65,AR,1577607305,83,75.99,-34.61,-58.36,3.36
98,maues,63,BR,1577607604,98,72.82,-3.38,-57.72,1.86
99,narsaq,100,GL,1577607452,86,26.6,60.91,-46.05,2.24
100,sept-iles,20,CA,1577607305,78,15.8,50.2,-66.38,18.19
101,vestmannaeyjar,100,IS,1577607604,91,44.04,63.44,-20.27,17.43
102,tyulgan,97,RU,1577607605,95,22.42,52.34,56.17,6.29
103,butaritari,72,KI,1577607605,78,83.75,3.07,172.79,14.54
104,vao,32,EE,1577607605,81,25.02,59.1,26.19,8.79
105,victoria,75,BN,1577607362,79,86.0,5.28,115.24,6.93
106,pendleton,90,US,1577607606,100,61.0,34.65,-82.78,5.77
107,coleraine,2,AU,1577607606,35,86.13,-37.6,141.69,9.15
108,kavieng,84,PG,1577607606,73,84.16,-2.57,150.8,10.4
109,provideniya,0,RU,1577607435,83,-5.64,64.42,-173.23,13.49
110,sangar,40,RU,1577607607,98,-41.82,63.92,127.47,1.07
111,kaitangata,100,NZ,1577607510,71,63.0,-46.28,169.85,8.99
112,saint george,20,GR,1577607607,48,41.0,39.45,22.34,17.22
113,laguna,66,BZ,1577607608,90,67.69,16.17,-88.94,1.1
114,pires do rio,100,BR,1577607608,96,65.89,-17.3,-48.28,3.44
115,new norfolk,75,AU,1577607460,72,66.99,-42.78,147.06,17.22
116,almaznyy,90,RU,1577607609,70,32.0,48.03,40.04,4.47
117,salinopolis,76,BR,1577607609,80,82.22,-0.61,-47.36,17.54
118,bethel,75,US,1577607610,68,-14.8,60.79,-161.76,5.82
119,hualmay,100,PE,1577607610,82,66.83,-11.1,-77.61,1.92
120,mount isa,40,AU,1577607611,13,102.2,-20.73,139.49,6.93
121,sterling,90,US,1577607611,87,46.99,39.0,-77.4,4.41
122,kidal,0,ML,1577607612,15,70.72,18.44,1.41,13.69
123,jardim,71,BR,1577607612,84,73.11,-21.48,-56.15,4.05
124,san angelo,1,US,1577607416,74,41.0,31.46,-100.44,3.36
125,parkes,100,AU,1577607612,10,99.0,-33.14,148.18,7.29
126,bluff,61,AU,1577607612,43,81.28,-23.58,149.07,15.88
127,amuntai,60,ID,1577607613,66,87.49,-2.42,115.25,1.81
128,minab,52,IR,1577607613,47,75.2,27.15,57.07,2.24
129,alofi,100,NU,1577607613,90,76.68,-19.06,-169.92,23.69
130,kigorobya,51,UG,1577607613,32,81.43,1.62,31.31,7.25
131,balkanabat,98,TM,1577607514,80,47.84,39.51,54.36,3.29
132,kysyl-syr,43,RU,1577607614,98,-37.91,63.9,122.77,4.27
133,mountain home,90,US,1577607614,80,30.2,43.13,-115.69,6.93
134,kirakira,10,SB,1577607483,85,77.94,-10.46,161.92,3.85
135,dingle,0,PH,1577607532,85,77.09,11.0,122.67,8.88
136,nador,40,MA,1577607615,71,57.2,35.17,-2.93,5.82
137,qaanaaq,100,GL,1577607615,62,3.87,77.48,-69.36,16.69
138,antanifotsy,15,MG,1577607615,43,83.71,-19.66,47.32,1.68
139,carnarvon,67,ZA,1577607617,21,86.7,-30.97,22.13,21.99
140,pokaran,0,IN,1577607617,10,67.86,26.93,71.92,8.5
141,codrington,0,AU,1577607501,57,78.8,-28.95,153.24,13.87
142,veydelevka,100,RU,1577607617,85,29.5,50.15,38.45,7.07
143,kanashevo,75,RU,1577607618,84,8.6,55.21,62.07,13.42
144,zdvinsk,100,RU,1577607618,91,8.73,54.7,78.67,7.7
145,padang,83,ID,1577607618,93,75.9,-0.92,100.36,2.19
146,novoaleksandrovsk,91,RU,1577607618,66,44.24,45.5,41.22,13.8
147,yueyang,100,CN,1577607618,68,56.14,29.36,113.12,5.35
148,kaseda,75,JP,1577607619,82,55.4,31.42,130.32,4.7
149,abu samrah,95,SY,1577607619,80,50.25,35.3,37.18,9.01
150,isangel,72,VU,1577607619,79,77.52,-19.55,169.27,19.39
151,clyde river,75,CA,1577607619,76,-7.6,70.47,-68.59,3.36
152,salalah,75,OM,1577607444,51,84.2,17.01,54.1,2.24
153,san patricio,0,PY,1577607620,66,76.87,-26.98,-56.83,2.46
154,tuktoyaktuk,80,CA,1577607621,92,-24.41,69.44,-133.03,16.13
155,ulaanbaatar,66,MN,1577607621,47,-9.4,47.92,106.92,8.95
156,gavle,100,SE,1577607621,94,36.0,60.67,17.14,4.0
157,berdigestyakh,39,RU,1577607622,96,-39.1,62.1,126.7,3.65
158,itoman,75,JP,1577607622,73,73.4,26.12,127.67,8.05
159,qiongshan,90,CN,1577607540,94,68.0,20.01,110.35,6.71
160,wanning,20,AT,1577607623,92,28.0,48.64,13.53,2.24
161,whitianga,0,NZ,1577607624,73,62.01,-36.83,175.7,4.0
162,martapura,99,ID,1577607624,83,82.85,-3.41,114.85,4.38
163,muzhi,100,RU,1577607624,78,12.36,65.4,64.7,12.88
164,rafai,0,CF,1577607625,10,90.46,4.95,23.92,4.68
165,lompoc,1,US,1577607470,87,48.99,34.64,-120.46,3.36
166,charters towers,18,AU,1577607625,64,78.96,-20.07,146.27,15.77
167,coachella,1,US,1577607625,75,46.4,33.68,-116.18,4.7
168,lixourion,40,GR,1577607625,49,48.2,38.2,20.43,16.11
169,guaruja,20,BR,1577607626,82,70.0,-23.99,-46.26,3.36
170,taoudenni,0,ML,1577607468,16,66.42,22.68,-3.98,8.03
171,copiapo,56,CL,1577607626,87,59.0,-27.37,-70.33,9.17
